,Environment,Health & Safety,Social,Total général
Abu Dhabi,7,0,0,7
Anaheim,9,0,0,9
Bedford,9,0,0,9
Bloomington,0,0,0,0
Bochum,13,10,3,26
Bogota,12,9,3,24
Bogota SC,13,10,0,23
Brentwood,6,0,0,6
Bucharest,12,7,3,22
Budapest,8,8,2,18
Cairo,4,0,2,6
Canberra,10,7,2,19
Casablanca,9,9,3,21
Chantilly,0,0,0,0
Cotia,10,10,3,23
Dijon,12,9,3,24
Dubai,0,0,0,0
Eden Prairie,9,0,0,9
Exton,9,0,0,9
Flintbek,12,9,1,22
Fort Wayne,9,0,0,9
Haarlem,12,9,3,24
Hanoi,0,0,0,0
Harrisburg,12,0,0,12
Hong Kong,0,0,2,2
IDEMIA Head Office,0,0,0,0
JV Aleat Tirana,0,0,0,0
Jakarta,0,0,0,0
Karachi,0,0,0,0
Kawasaki,8,0,2,10
Kobylka,5,9,1,15
Kuala Lumpur,7,7,0,14
Lima,10,7,2,19
Limbro,12,9,3,24
Lodz,8,8,0,16
Los Angeles,1,1,0,2
Madrid,6,5,1,12
Makati,0,0,0,0
Malaga,0,0,1,1
Manila,8,6,2,16
Medelin,10,7,0,17
Mexico DF,12,9,3,24
Mexico SC,13,10,2,25
Meyreuil,13,10,3,26
Milan,11,9,3,23
Noida Biometric,12,9,2,23
Noida Factory,10,0,2,12
Noida HO,0,0,0,0
Oakville,0,0,0,0
Osny,12,9,3,24
Ostrava,1,9,3,13
Otopeni,0,8,2,10
Pessac,0,0,0,0
Prague,8,9,3,20
Reston,9,0,0,9
Riga,12,9,3,24
Riyadh,1,0,1,2
Riyadh (manufacturing),0,0,0,0
Roedovre,13,10,3,26
Sacramento,8,0,0,8
Saint-Etienne du Rouvray,10,9,3,22
Santiago,12,10,3,25
Sao Paulo,10,0,3,13
Shenzhen,10,10,3,23
Singapore,8,6,2,16
Sittard,12,9,3,24
Smithfield,13,10,3,26
Sophia,0,0,1,1
Springfield,10,0,0,10
Stavanger,11,10,3,24
Sterling,0,0,0,0
Strängnäs,12,6,1,19
Tewkesbury,10,8,1,19
Tokyo,5,3,0,8
Vitré,6,9,0,15
Wokingham,12,10,2,24
Yumbo,10,0,0,10
Total,558,357,103,1018
