Region,country,Site,Date,KPI Category,Frequency,Completion
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-01-01 00:00:00,Environment,annual,Not Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-01-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-01-01 00:00:00,Environment,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-01-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-01-01 00:00:00,Social,annual,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-01-01 00:00:00,Social,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-02-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-02-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-03-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-03-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-04-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-04-01 00:00:00,Environment,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-04-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-04-01 00:00:00,Social,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-05-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-05-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-06-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-06-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-07-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-07-01 00:00:00,Environment,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-07-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-07-01 00:00:00,Social,quarter,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-08-01 00:00:00,Environment,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-08-01 00:00:00,Health & Safety,month,Filled
Middle East & Africa,United Arab Emirates,Abu Dhabi,2023-09-01 00:00:00,Environment,month,Filled
